SNR,NumTargets,DL,FFT,MUSIC,SBL
0,1,0.48303074,47.02454872769302,47.02454872769302,47.02454872769302
0,2,0.49528995,72.2287422674206,72.2287422674206,72.2287422674206
0,3,0.547833,102.9493741274449,102.9493741274449,102.9493741274449
10,1,0.4470114,29.397740344682905,29.397740344682905,29.397740344682905
10,2,0.43770862,42.95575173615797,42.95575173615797,42.95575173615797
10,3,0.4788175,60.09404084606091,60.09404084606091,60.09404084606091
20,1,0.44337088,27.777263255410087,27.777263255410087,27.777263255410087
20,2,0.440669,43.15030184143895,43.15030184143895,43.15030184143895
20,3,0.47887063,54.87724649098291,54.87724649098291,54.87724649098291
30,1,0.46353126,27.60269917216197,27.60269917216197,27.60269917216197
30,2,0.44899702,42.986093063065695,42.986093063065695,42.986093063065695
30,3,0.4461911,56.09398397796251,56.09398397796251,56.09398397796251
